Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),Number of Trades,Index,Month,Quarter,Daily_Return_Pct
2025-03-18,11872.23,11880.89,11761.22,11792.4,230030693.0,5955294945.16,578273.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.7085742004521167
2025-03-17,11882.62,11937.46,11849.83,11883.04,216945096.0,5455420973.89,490876.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.7686306434652845
2025-03-16,11736.82,11881.35,11714.65,11853.78,184829055.0,4675349241.9,380072.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-0.24623328710497994
2025-03-13,11706.36,11757.82,11684.94,11725.88,210410835.0,6204536304.92,466133.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-1.0789807133252172
2025-03-12,11737.3,11750.21,11659.3,11704.93,209543170.0,5421170614.53,492215.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-0.17866462900864022
2025-03-11,11671.89,11728.9,11535.39,11717.96,284135851.0,7702440003.64,642321.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.11132061447611807
2025-03-10,11843.21,11849.35,11724.71,11745.63,198712190.0,5322370871.0,465160.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.23613325186295775
2025-03-09,11803.62,11854.14,11718.01,11836.52,150502175.0,3953682657.36,358062.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.7738197099687483
2025-03-06,11890.83,11907.03,11686.74,11811.11,230417301.0,7081065985.12,563990.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-0.21467458340795886
2025-03-05,11939.97,11981.76,11870.66,11898.86,190062632.0,5639910050.5,458475.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.7429445665987355
2025-03-04,12092.6,12111.71,11920.93,11931.7,221827806.0,6472256223.08,533975.0,Tadwul All Share Index (TASI),2025-03,2025Q1,0.2759928262035194
2025-03-03,12042.53,12146.35,12007.66,12123.81,193238849.0,6139735241.54,491112.0,Tadwul All Share Index (TASI),2025-03,2025Q1,1.6100807093708314
2025-03-02,12124.25,12149.92,12006.09,12035.45,139110674.0,3458472202.73,342320.0,Tadwul All Share Index (TASI),2025-03,2025Q1,-0.7288137969829522
2025-02-27,12228.12,12232.41,12111.9,12111.9,287505915.0,8329507730.12,476637.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.6352068265000455
2025-02-26,12300.91,12315.84,12199.92,12232.65,191639108.0,5803633117.87,395192.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.9969534094568244
2025-02-25,12313.67,12321.87,12208.93,12301.23,192739659.0,5318227363.79,421827.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.5606307709286273
2025-02-24,12374.42,12430.2,12310.89,12319.46,238498980.0,7026019421.86,506431.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.14819656245756985
2025-02-20,12309.32,12388.15,12301.62,12388.15,215989890.0,5956473963.4,411051.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.5575731403811623
2025-02-19,12318.67,12348.16,12288.12,12317.59,208678716.0,6033375500.73,417176.0,Tadwul All Share Index (TASI),2025-02,2025Q1,-0.5695765711587253
2025-02-18,12279.94,12336.62,12262.92,12333.67,210157772.0,5783068853.06,417612.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.1305450173288758
2025-02-17,12360.97,12366.01,12238.51,12266.46,182269821.0,5269813257.06,421480.0,Tadwul All Share Index (TASI),2025-02,2025Q1,-0.5449310708005028
2025-02-16,12386.49,12450.62,12362.71,12372.07,144480606.0,4100965298.95,323353.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.8609655923550896
2025-02-13,12371.81,12392.05,12351.05,12385.0,166324447.0,5000560537.84,392345.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.10450959297838569
2025-02-12,12415.58,12424.7,12363.32,12385.7,230713433.0,5614811467.88,445091.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.005651998385158841
2025-02-11,12470.01,12470.18,12415.72,12424.32,216513218.0,6378154278.72,444584.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.3118112016276653
2025-02-10,12451.0,12481.93,12443.81,12471.72,222121854.0,5937312529.11,458226.0,Tadwul All Share Index (TASI),2025-02,2025Q1,0.38150981301190434
2025-02-09,12438.81,12480.65,12425.9,12469.14,166493744.0,4708279619.19,367038.0,Tadwul All Share Index (TASI),2025-02,2025Q1,-0.020686801820435363
