Date,Open,High,Low,Close,Value Traded (SAR),Number of Trades,Size,Month,Quarter,Daily_Return_Pct
2025-10-28,4671.62,4704.77,4669.7,4694.5,1408297100.46,117034,Tadawul Medium Cap Index,2025-10,2025Q4,-0.6164763465308365
2025-10-27,4660.93,4687.58,4660.67,4663.03,1508442896.75,118894,Tadawul Medium Cap Index,2025-10,2025Q4,-0.6703589306635505
2025-10-26,4657.28,4674.31,4654.37,4654.37,811551514.79,63139,Tadawul Medium Cap Index,2025-10,2025Q4,-0.18571615451755674
2025-10-23,4641.0,4653.15,4631.16,4649.92,1258268851.3,112177,Tadawul Medium Cap Index,2025-10,2025Q4,-0.09560907276386921
2025-10-22,4667.58,4669.11,4631.12,4631.12,1169906039.28,110057,Tadawul Medium Cap Index,2025-10,2025Q4,-0.4043080311059155
2025-10-21,4736.22,4737.45,4673.52,4679.46,1371681883.58,120011,Tadawul Medium Cap Index,2025-10,2025Q4,1.043807977335942
2025-10-20,4762.82,4769.83,4732.94,4739.62,1403740273.74,107637,Tadawul Medium Cap Index,2025-10,2025Q4,1.2856184260576997
2025-10-19,4765.89,4781.46,4759.16,4760.83,1021907721.97,73238,Tadawul Medium Cap Index,2025-10,2025Q4,0.44750423029693565
2025-10-16,4780.29,4786.54,4755.39,4760.14,1458109254.07,115112,Tadawul Medium Cap Index,2025-10,2025Q4,-0.014493271131288399
2025-10-15,4758.48,4780.91,4757.0,4778.03,1629663524.84,122852,Tadawul Medium Cap Index,2025-10,2025Q4,0.3758292823320186
2025-10-14,4763.89,4774.92,4752.09,4758.1,1489237047.36,111880,Tadawul Medium Cap Index,2025-10,2025Q4,-0.41711751495907556
2025-10-13,4740.84,4775.07,4738.3,4761.31,1476469782.08,108417,Tadawul Medium Cap Index,2025-10,2025Q4,0.06746390365901522
2025-10-12,4658.3,4744.57,4636.36,4733.62,1095639040.43,80402,Tadawul Medium Cap Index,2025-10,2025Q4,-0.581562637173394
2025-10-09,4719.32,4744.31,4715.19,4740.98,1235224692.93,112226,Tadawul Medium Cap Index,2025-10,2025Q4,0.1554835411376354
2025-10-08,4749.21,4751.28,4712.28,4720.21,1223954667.37,107353,Tadawul Medium Cap Index,2025-10,2025Q4,-0.43809507738905573
2025-10-07,4770.44,4771.28,4742.22,4750.42,1449363790.03,135039,Tadawul Medium Cap Index,2025-10,2025Q4,0.6400138976867531
2025-10-06,4721.96,4773.67,4721.8,4760.02,1476699273.84,121749,Tadawul Medium Cap Index,2025-10,2025Q4,0.20208739437777012
2025-10-05,4711.63,4738.96,4711.63,4723.67,969231798.81,92031,Tadawul Medium Cap Index,2025-10,2025Q4,-0.7636522535619639
2025-10-02,4729.07,4729.61,4691.83,4703.38,1513398981.45,119470,Tadawul Medium Cap Index,2025-10,2025Q4,-0.4295388966629732
2025-10-01,4698.37,4726.05,4693.5,4715.37,1599152123.68,137945,Tadawul Medium Cap Index,2025-10,2025Q4,0.2549230553346771
2025-09-30,4666.4,4717.71,4661.76,4687.56,1942054717.06,160643,Tadawul Medium Cap Index,2025-09,2025Q3,-0.589773443017183
2025-09-29,4613.66,4664.3,4597.72,4656.85,1965270701.39,155625,Tadawul Medium Cap Index,2025-09,2025Q3,-0.6551382808966721
2025-09-28,4607.98,4635.18,4603.02,4608.45,1158113289.47,98641,Tadawul Medium Cap Index,2025-09,2025Q3,-1.0393291602692978
2025-09-25,4671.34,4675.92,4555.26,4615.09,3390150129.89,257861,Tadawul Medium Cap Index,2025-09,2025Q3,0.14408315160194807
2025-09-24,4519.17,4674.77,4489.72,4662.92,4446306265.25,338178,Tadawul Medium Cap Index,2025-09,2025Q3,1.036382822436832
2025-09-22,4379.81,4415.37,4368.97,4415.37,1397562857.4,176246,Tadawul Medium Cap Index,2025-09,2025Q3,-5.308905149562937
2025-09-21,4377.98,4399.72,4358.71,4381.29,1090896281.68,116520,Tadawul Medium Cap Index,2025-09,2025Q3,-0.7718492447971514
